Year,Exports_latin,Import_latin,Export_world,Import_world,Export_asia,Import_asia,Export_africa,Import_africa,Export_middle,Import_middle
2001,8155562,6684868,266098209,243552881,141310281,148161172,5962705,4793047,8637000,9471825
2002,9379910,8312697,325595970,295170104,171181696,191738314,6919701,5427151,11455991,9855661
2003,11712046,14851295,438227767,412759796,222589294,272942339,10127056,8359982,16269404,15111244
2004,18023070,21670990,593325581,561228748,295480056,369494333,13731978,15646043,21158103,22414275
2005,23378451,26665616,761953410,659952762,366417732,441504021,18605472,21062122,28374343,31869881
2006,35656976,34071902,968935601,791460868,455834323,525401574,26587068,28771680,39865269,41815658
2007,51268396,51004530,1220059668,956115448,569290576,620103536,37386023,36360355,59310686,49385731
2008,71240229,71418195,1430693100,1132562200,664041825,702705447,51098812,55966890,75342678,82261543
2009,56558109,64132001,1201646800,1005555200,568208536,603606229,47641284,43330070,64523939,58690005
2010,91248968,91104908,1577763800,1396001600,731845647,835039186,59815477,67066285,80653260,90753516
2011,120962104,118641897,1898388400,1743394900,899708039,1004290630,72926555,93238167,102635756,138747614
2012,134340925,125131260,2048782200,1818199200,1007682823,1038390580,85147200,113244541,109474922,149994915
2013,133151483,126374666,2209007300,1949992300,1134951525,1090248040,92584458,117454435,123208034,161845454
2014,135020898,126003240,2342292696,1959234625,1189019878,1085552128,105849379,115631357,147407633,166087193
2015,131376875,103801977,2281855922,1681670816,1147296051,952824362,108518744,70468884,141168559,105539426
2016,113707662,101762503,2118980582,1588695867,1055589146,908516211,93489371,56827399,125102555,88487324
2017,130363907,126250335,2271796142,1840957060,1101590102,1028794124,94884152,75762377,126441402,115189175
2018,148046396,157610233,2494230195,2134987265,1192631587,1193775727,104959050,99026182,126597827,160378326
2019,151057095,163854656,2498569866,2068950255,1223913843,1146067122,113061254,95019179,135920300,159294964
